entropy,value
entropy1,0.27
entropy1,0.29
entropy1,0.25
entropy1,0.27
entropy1,0.31
entropy1,0.48
entropy1,0.31
entropy1,1.38
entropy1,0.74
entropy1,0.57
entropy1,0.81
entropy1,0.49
entropy1,0.49
entropy1,0.74
entropy1,0.48
entropy1,0.45
entropy1,0.58
entropy1,0.58
entropy1,0.55
entropy1,0.85
entropy1,1.3
entropy1,0.79
entropy1,0.55
entropy1,1.38
entropy1,0.55
entropy1,0.63
entropy1,0.74
entropy1,0.49
entropy1,0.54
entropy1,0.51
entropy1,1.22
entropy1,0.59
entropy1,0.93
entropy1,0.55
entropy1,0.59
entropy1,0.59
entropy1,0.55
entropy1,0.56
entropy1,0.56
entropy1,0.94
entropy1,0.94
entropy1,0.55
entropy1,0.56
entropy1,0.56
entropy1,0.66
entropy1,0.57
entropy1,0.66
entropy1,0.66
entropy1,0.66
entropy1,0.57
entropy1,0.57
entropy1,0.57
entropy1,0.57
entropy1,0.64
entropy1,0.57
entropy1,0.67
entropy1,0.6
entropy1,0.92
entropy1,0.57
entropy1,0.56
entropy1,0.56
entropy1,0.58
entropy1,0.58
entropy1,0.89
entropy1,0.89
entropy1,0.61
entropy1,0.64
entropy1,1.47
entropy0,2.21
entropy0,1.89
entropy0,2.23
entropy0,1.43
entropy0,0.74
entropy0,0.64
entropy0,0.67
entropy0,1.64
entropy0,1.81
entropy0,2.32
entropy0,1.04
entropy0,0.3
entropy0,0.58
entropy0,0.68
entropy0,1.65
entropy0,0.53
entropy0,1.81
entropy0,1.78
entropy0,0.82
entropy0,0.48
entropy0,2.54
entropy0,1.78
entropy0,1.78
entropy0,2.3
entropy0,2.91
entropy0,2.26
entropy0,1.53
entropy0,2.27
entropy0,2.41
entropy0,2.41
entropy0,2.08
entropy0,0.43
entropy0,0.81
entropy0,1.31
entropy0,3.01
entropy0,2.86
entropy0,1.65
entropy0,0.5
entropy0,2.66
entropy0,3.19
entropy0,3.19
entropy0,1.74
entropy0,2.61
entropy0,2.21
entropy0,2.18
entropy0,1.99
entropy0,1.18
entropy0,0.59
entropy0,1.93
entropy0,2.38
entropy0,2.8
entropy0,2.63
entropy0,1.67
entropy0,2.49
entropy0,2.39
entropy0,2.39
entropy0,0.64
entropy0,1.41
entropy0,2.57
entropy0,2.57
entropy0,0.84
entropy0,0.92
entropy0,1.5
entropy0,2.52
entropy0,2.67
entropy0,2.12
entropy0,0.71
entropy0,0.99
entropy0,1.93
entropy0,1.69
entropy0,0.74
entropy0,1.97
entropy0,1.67
entropy0,1.02
entropy0,1.31
entropy0,1.73
entropy0,1.93
entropy0,2.7
entropy0,2.33
entropy0,1.51
entropy0,1.57
entropy0,2.53
entropy0,2.37
entropy0,1.44
entropy0,1.38
entropy0,0.61
entropy0,0.66
entropy0,0.62
entropy0,1.01
entropy0,1.01
entropy0,0.6
entropy0,1.46
entropy0,1.17
entropy0,1.17
entropy0,1.53
entropy0,0.72
entropy0,0.64
entropy0,0.72
entropy0,0.64
entropy0,1.94
entropy0,1.54
entropy0,2.02
entropy0,2.27
entropy0,1.89
entropy0,1.5
entropy0,0.64
entropy0,0.84
entropy0,1.17
entropy0,1.47
