pssm_native,value
pssm_native0,3537.0
pssm_native0,4039.0
pssm_native0,3419.0
pssm_native0,3.7
pssm_native0,3359.0
pssm_native0,4753.0
pssm_native0,5047.0
pssm_native0,4136.0
pssm_native0,3766.0
pssm_native0,2933.0
pssm_native0,3252.0
pssm_native0,3432.0
pssm_native0,4211.0
pssm_native0,3382.0
pssm_native0,0.809
pssm_native0,4202.0
pssm_native0,2813.0
pssm_native0,4698.0
pssm_native0,4408.0
pssm_native0,4575.0
pssm_native0,5.17
pssm_native0,3748.0
pssm_native0,3748.0
pssm_native0,1551.0
pssm_native0,1763.0
pssm_native0,4144.0
pssm_native0,3.8
pssm_native0,4148.0
pssm_native0,3467.0
pssm_native0,3467.0
pssm_native0,4183.0
pssm_native0,-0.546
pssm_native0,1.9
pssm_native0,4506.0
pssm_native0,3516.0
pssm_native0,3232.0
pssm_native0,4038.0
pssm_native0,4085.0
pssm_native0,3282.0
pssm_native0,4654.0
pssm_native0,4654.0
pssm_native0,2822.0
pssm_native0,3846.0
pssm_native0,5228.0
pssm_native0,3481.0
pssm_native0,4237.0
pssm_native0,3201.0
pssm_native0,4534.0
pssm_native0,3.69
pssm_native0,3136.0
pssm_native0,2249.0
pssm_native0,1772.0
pssm_native0,3524.0
pssm_native0,1141.0
pssm_native0,2993.0
pssm_native0,2993.0
pssm_native0,3392.0
pssm_native0,4087.0
pssm_native0,3774.0
pssm_native0,3774.0
pssm_native0,4679.0
pssm_native0,4603.0
pssm_native0,5367.0
pssm_native0,4104.0
pssm_native0,3559.0
pssm_native0,4104.0
pssm_native0,1082.0
pssm_native0,1867.0
pssm_native0,1604.0
pssm_native0,4034.0
pssm_native0,4076.0
pssm_native0,3627.0
pssm_native0,3833.0
pssm_native0,3021.0
pssm_native0,4313.0
pssm_native0,4056.0
pssm_native0,3717.0
pssm_native0,4065.0
pssm_native0,3865.0
pssm_native0,4586.0
pssm_native0,3903.0
pssm_native0,1822.0
pssm_native0,3477.0
pssm_native0,3654.0
pssm_native0,4709.0
pssm_native0,5488.0
pssm_native0,4136.0
pssm_native0,4279.0
pssm_native0,5614.0
pssm_native0,5614.0
pssm_native0,4642.0
pssm_native0,4576.0
pssm_native0,4517.0
pssm_native0,4517.0
pssm_native0,3863.0
pssm_native0,4598.0
pssm_native0,4731.0
pssm_native0,5664.0
pssm_native0,4473.0
pssm_native0,2537.0
pssm_native0,2729.0
pssm_native0,4194.0
pssm_native0,3666.0
pssm_native0,4225.0
pssm_native0,4479.0
pssm_native0,3311.0
pssm_native0,4245.0
pssm_native0,0.801
pssm_native0,4075.0
pssm_native1,5593.0
pssm_native1,4728.0
pssm_native1,5593.0
pssm_native1,5086.0
pssm_native1,4251.0
pssm_native1,5567.0
pssm_native1,5086.0
pssm_native1,4309.0
pssm_native1,3359.0
pssm_native1,5535.0
pssm_native1,1.9
pssm_native1,4721.0
pssm_native1,4721.0
pssm_native1,4459.0
pssm_native1,5815.0
pssm_native1,4.22
pssm_native1,3373.0
pssm_native1,5023.0
pssm_native1,4562.0
pssm_native1,4.44
pssm_native1,2912.0
pssm_native1,4661.0
pssm_native1,5558.0
pssm_native1,5316.0
pssm_native1,6.77
pssm_native1,4539.0
pssm_native1,5.76
pssm_native1,4703.0
pssm_native1,4534.0
pssm_native1,5.53
pssm_native1,3.18
pssm_native1,4449.0
pssm_native1,4127.0
pssm_native1,5516.0
pssm_native1,4768.0
pssm_native1,4768.0
pssm_native1,5014.0
pssm_native1,5285.0
pssm_native1,4317.0
pssm_native1,4.57
pssm_native1,4.57
pssm_native1,5521.0
pssm_native1,4651.0
pssm_native1,4651.0
pssm_native1,4.44
pssm_native1,4655.0
pssm_native1,4.52
pssm_native1,4717.0
pssm_native1,5488.0
pssm_native1,5132.0
pssm_native1,5132.0
pssm_native1,5266.0
pssm_native1,4431.0
pssm_native1,4651.0
pssm_native1,5132.0
pssm_native1,4651.0
pssm_native1,4981.0
pssm_native1,4551.0
pssm_native1,4.15
pssm_native1,4656.0
pssm_native1,4656.0
pssm_native1,4622.0
pssm_native1,4981.0
pssm_native1,4612.0
pssm_native1,4612.0
pssm_native1,3307.0
pssm_native1,4037.0
pssm_native1,4075.0
